geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,strand,left,right,GeneName,name,location,,
ENSG00000236423,16.521,0.071,0.178,0.399,0.69,0.846,1,+,3816935,3822096,LINC01134,long intergenic non-protein coding RNA 1134 [Source:HGNC Symbol,Acc:HGNC:49449],1:3816935-3822096,
ENSG00000229280,3.778,-0.042,0.256,-0.165,0.869,0.944,1,-,4235587,4235959,EEF1DP6,eukaryotic translation elongation factor 1 delta pseudogene 6 [Source:HGNC Symbol,Acc:HGNC:51456],1:4235587-4235959,
ENSG00000231510,2.33,-0.192,0.266,-0.72,0.472,0.699,1,-,5146518,5150959,RP11-542C10.1,,1:5146518-5150959,,
ENSG00000131697,221.798,-0.088,0.066,-1.329,0.184,0.395,1,-,5922870,5927712,NPHP4,nephronophthisis 4 [Source:HGNC Symbol,Acc:HGNC:19104],1:5922870-5927712,
ENSG00000069424,105.887,-0.184,0.089,-2.075,0.038,0.124,1,+,6051525,6160235,KCNAB2,"potassium channel, voltage gated subfamily A regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6229]",1:6051525-6160235,,
ENSG00000268332,3.1,0.094,0.265,0.356,0.722,0.865,1,-,6100629,6101399,NA,NA,1:6100629-6101399,,
ENSG00000116254,191.296,-0.075,0.076,-0.995,0.32,0.56,1,-,6161852,6240183,CHD5,chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol,Acc:HGNC:16816],1:6161852-6240183,
ENSG00000116251,2410.687,0.026,0.057,0.451,0.652,0.823,1,-,6241328,6257817,RPL22,ribosomal protein L22 [Source:HGNC Symbol,Acc:HGNC:10315],1:6241328-6257817,
ENSG00000226944,3.92,0.066,0.257,0.255,0.799,0.909,1,-,6264899,6265840,RP1-120G22.11,,1:6264899-6265840,,
ENSG00000158286,181.009,-0.204,0.082,-2.498,0.012,0.05,1,+,6265534,6268367,RNF207,ring finger protein 207 [Source:HGNC Symbol,Acc:HGNC:32947],1:6265534-6268367,
ENSG00000116237,1466.545,0.053,0.045,1.177,0.239,0.467,1,-,6281252,6296000,ICMT,isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol,Acc:HGNC:5350],1:6281252-6296000,
ENSG00000225077,8.364,-0.206,0.219,-0.943,0.346,0.586,1,+,6296299,6299000,LINC00337,long intergenic non-protein coding RNA 337 [Source:HGNC Symbol,Acc:HGNC:28620],1:6296299-6299000,
ENSG00000158292,211.461,0.541,0.077,6.982,0,0,1,-,6307405,6321035,GPR153,G protein-coupled receptor 153 [Source:HGNC Symbol,Acc:HGNC:23618],1:6307405-6321035,
ENSG00000097021,507.241,-0.026,0.068,-0.38,0.704,0.855,1,-,6324328,6453421,ACOT7,acyl-CoA thioesterase 7 [Source:HGNC Symbol,Acc:HGNC:24157],1:6324328-6453421,
ENSG00000271746,3.403,-0.466,0.264,-1.766,0.077,0.214,1,+,6453614,6454451,RP1-202O8.3,,1:6453614-6454451,,
ENSG00000069812,135.138,1.679,0.094,17.941,0,0,1,-,6472477,6484730,HES2,hes family bHLH transcription factor 2 [Source:HGNC Symbol,Acc:HGNC:16005],1:6472477-6484730,
ENSG00000187017,917.101,0.612,0.08,7.681,0,0,1,+,6484847,6521004,ESPN,espin [Source:HGNC Symbol,Acc:HGNC:13281],1:6484847-6521004,
ENSG00000231868,24.852,0.677,0.17,3.995,0,0,1,-,6503093,6507066,RP1-202O8.2,,1:6503093-6507066,,
ENSG00000215788,135.232,-0.284,0.104,-2.713,0.007,0.029,1,-,6521210,6523682,TNFRSF25,tumor necrosis factor receptor superfamily member 25 [Source:HGNC Symbol,Acc:HGNC:11910],1:6521210-6523682,
ENSG00000171680,228.644,-0.387,0.063,-6.155,0,0,1,-,6526151,6537648,PLEKHG5,pleckstrin homology and RhoGEF domain containing G5 [Source:HGNC Symbol,Acc:HGNC:29105],1:6526151-6537648,
ENSG00000162408,374.504,0.078,0.063,1.25,0.211,0.433,1,-,6581406,6614595,NOL9,nucleolar protein 9 [Source:HGNC Symbol,Acc:HGNC:26265],1:6581406-6614595,
ENSG00000173662,0.741,-0.498,0.228,-2.181,0.029,NA,1,+,6615240,6639817,TAS1R1,taste 1 receptor member 1 [Source:HGNC Symbol,Acc:HGNC:14448],1:6615240-6639817,
ENSG00000204859,171.563,-0.001,0.078,-0.008,0.993,0.997,1,+,6640060,6642359,ZBTB48,zinc finger and BTB domain containing 48 [Source:HGNC Symbol,Acc:HGNC:4930],1:6640060-6642359,
ENSG00000162413,334.54,0.024,0.05,0.484,0.628,0.808,1,-,6650783,6662929,KLHL21,kelch like family member 21 [Source:HGNC Symbol,Acc:HGNC:29041],1:6650783-6662929,
ENSG00000116273,378.153,-0.133,0.05,-2.672,0.008,0.032,1,+,6673744,6684093,PHF13,PHD finger protein 13 [Source:HGNC Symbol,Acc:HGNC:22983],1:6673744-6684093,
ENSG00000041988,378.429,-0.066,0.069,-0.956,0.339,0.579,1,+,6684925,6693625,THAP3,"THAP domain containing, apoptosis associated protein 3 [Source:HGNC Symbol;Acc:HGNC:20855]",1:6684925-6693625,,
ENSG00000007923,632.349,0,0.044,0.006,0.995,0.998,1,-,6694227,6705117,DNAJC11,DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol,Acc:HGNC:25570],1:6694227-6705117,
ENSG00000228750,14.373,0.033,0.192,0.169,0.865,0.943,1,+,6784696,6787468,RP11-242F24.1,,1:6784696-6787468,,
ENSG00000237436,2.902,-0.169,0.264,-0.641,0.521,0.736,1,-,6843951,6844903,RP11-312B8.1,,1:6843951-6844903,,
ENSG00000171735,194.445,0.311,0.074,4.209,0,0,1,+,6845383,7829766,CAMTA1,calmodulin binding transcription activator 1 [Source:HGNC Symbol,Acc:HGNC:18806],1:6845383-7829766,
ENSG00000270171,1.436,0.189,0.261,0.726,0.468,NA,1,-,7753183,7754904,RP11-338N10.1,,1:7753183-7754904,,
ENSG00000270035,1.543,0.088,0.262,0.334,0.738,0.874,1,-,7758362,7758932,RP11-338N10.2,,1:7758362-7758932,,
ENSG00000269978,4.899,-0.206,0.25,-0.825,0.409,0.646,1,-,7760763,7761030,RP11-338N10.3,,1:7760763-7761030,,
ENSG00000049245,816.216,0.162,0.038,4.219,0,0,1,+,7831328,7841492,VAMP3,vesicle associated membrane protein 3 [Source:HGNC Symbol,Acc:HGNC:12644],1:7831328-7841492,
ENSG00000269925,4.529,0.608,0.257,2.367,0.018,0.067,1,+,7836442,7836835,RP3-467L1.6,,1:7836442-7836835,,
ENSG00000049246,255.406,-0.128,0.069,-1.862,0.063,0.184,1,+,7844379,7864018,PER3,period circadian clock 3 [Source:HGNC Symbol,Acc:HGNC:8847],1:7844379-7864018,
ENSG00000236266,16.657,-0.355,0.181,-1.966,0.049,0.153,1,-,7870301,7887402,RP3-467L1.4,,1:7870301-7887402,,
ENSG00000049247,34.961,-0.376,0.137,-2.746,0.006,0.027,1,-,7903142,7913572,UTS2,urotensin 2 [Source:HGNC Symbol,Acc:HGNC:12636],1:7903142-7913572,
ENSG00000049249,1.297,0.06,0.256,0.235,0.814,NA,1,-,7979906,8000926,TNFRSF9,tumor necrosis factor receptor superfamily member 9 [Source:HGNC Symbol,Acc:HGNC:11924],1:7979906-8000926,
ENSG00000116288,1274.676,0.074,0.061,1.222,0.222,0.447,1,+,8014350,8045112,PARK7,parkinson protein 7 [Source:HGNC Symbol,Acc:HGNC:16369],1:8014350-8045112,
ENSG00000200344,0.358,-0.042,0.178,-0.237,0.812,NA,1,-,8042940,8043043,Y_RNA,Y RNA [Source:RFAM,Acc:RF00019],1:8042940-8043043,
ENSG00000116285,812.326,1.895,0.082,23.078,0,0,1,-,8064463,8086343,ERRFI1,ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol,Acc:HGNC:18185],1:8064463-8086343,
ENSG00000238290,2.468,0.32,0.267,1.201,0.23,0.456,1,+,8086797,8182762,RP11-431K24.1,,1:8086797-8182762,,
ENSG00000232848,95.421,0.093,0.093,0.995,0.32,0.56,1,-,8117304,8118523,CTA-215D11.4,,1:8117304-8118523,,
ENSG00000265414,8.916,0.302,0.215,1.404,0.16,0.36,1,-,8335183,8335438,NA,NA,1:8335183-8335438,,
ENSG00000162426,5.813,0.767,0.25,3.071,0.002,0.011,1,+,8377885,8404225,SLC45A1,solute carrier family 45 member 1 [Source:HGNC Symbol,Acc:HGNC:17939],1:8377885-8404225,
ENSG00000142599,1367.952,1.244,0.042,29.944,0,0,1,-,8412456,8877524,RERE,arginine-glutamic acid dipeptide (RE) repeats [Source:HGNC Symbol,Acc:HGNC:9965],1:8412456-8877524,
ENSG00000232912,1.175,0.559,0.241,2.319,0.02,NA,1,+,8484704,8494898,RP5-1115A15.1,,1:8484704-8494898,,
ENSG00000234619,51.829,-0.103,0.117,-0.875,0.382,0.621,1,+,8810488,8811146,RPL7P11,ribosomal protein L7 pseudogene 11 [Source:HGNC Symbol,Acc:HGNC:35667],1:8810488-8811146,
ENSG00000224315,58.272,-0.02,0.111,-0.184,0.854,0.937,1,-,8846269,8846972,RPL7P7,ribosomal protein L7 pseudogene 7 [Source:HGNC Symbol,Acc:HGNC:36895],1:8846269-8846972,
ENSG00000228423,0.954,0.119,0.245,0.484,0.628,NA,1,-,8865918,8867110,RP4-633I8.4,,1:8865918-8867110,,
ENSG00000074800,11883.561,-0.061,0.066,-0.924,0.355,0.595,1,-,8921060,8938749,ENO1,"enolase 1, (alpha) [Source:HGNC Symbol;Acc:HGNC:3350]",1:8921060-8938749,,
ENSG00000236269,9.262,0.006,0.212,0.029,0.977,0.99,1,-,8935846,8938066,ENO1-IT1,ENO1 intronic transcript 1 [Source:HGNC Symbol,Acc:HGNC:41331],1:8935846-8938066,
ENSG00000230679,4.744,0.228,0.246,0.925,0.355,0.595,1,+,8938893,8939953,ENO1-AS1,ENO1 antisense RNA 1 [Source:HGNC Symbol,Acc:HGNC:40214],1:8938893-8939953,
ENSG00000238249,220.041,0.005,0.071,0.076,0.94,0.976,1,+,8953467,8954210,HMGN2P17,high mobility group nucleosomal binding domain 2 pseudogene 17 [Source:HGNC Symbol,Acc:HGNC:39381],1:8953467-8954210,
ENSG00000232208,4.555,-0.088,0.25,-0.353,0.724,0.866,1,-,8967451,8967803,RP3-477M7.5,,1:8967451-8967803,,
ENSG00000131686,7.453,0.034,0.223,0.15,0.88,0.948,1,+,9005925,9027804,CA6,carbonic anhydrase VI [Source:HGNC Symbol,Acc:HGNC:1380],1:9005925-9027804,
ENSG00000197241,0.766,0.278,0.222,1.25,0.211,NA,1,-,9063358,9086404,SLC2A7,"solute carrier family 2 (facilitated glucose transporter), member 7 [Source:HGNC Symbol;Acc:HGNC:13445]",1:9063358-9086404,,
ENSG00000142583,18.294,-0.131,0.171,-0.769,0.442,0.674,1,-,9095165,9129775,SLC2A5,"solute carrier family 2 (facilitated glucose/fructose transporter), member 5 [Source:HGNC Symbol;Acc:HGNC:11010]",1:9095165-9129775,,
ENSG00000180758,262.592,-0.106,0.058,-1.835,0.066,0.192,1,-,9160363,9189229,GPR157,G protein-coupled receptor 157 [Source:HGNC Symbol,Acc:HGNC:23687],1:9160363-9189229,
ENSG00000228526,8.514,-0.475,0.214,-2.222,0.026,0.093,1,-,9242065,9262678,MIR34AHG,MIR34A host gene [Source:HGNC Symbol,Acc:HGNC:51913],1:9242065-9262678,
ENSG00000234546,10.857,-0.314,0.205,-1.533,0.125,0.303,1,+,9242262,9252148,RP3-510D11.2,,1:9242262-9252148,,
ENSG00000049239,687.387,0.247,0.044,5.665,0,0,1,+,9294833,9331396,H6PD,hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:HGNC Symbol,Acc:HGNC:4795],1:9294833-9331396,
ENSG00000171621,148.886,2.545,0.098,26.031,0,0,1,+,9352938,9429591,SPSB1,splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol,Acc:HGNC:30628],1:9352938-9429591,
ENSG00000171612,234.44,0.487,0.069,7.067,0,0,1,+,9599540,9645237,SLC25A33,"solute carrier family 25 (pyrimidine nucleotide carrier), member 33 [Source:HGNC Symbol;Acc:HGNC:29681]",1:9599540-9645237,,
ENSG00000231181,13.639,0.142,0.188,0.754,0.451,0.681,1,+,9636484,9637043,RP13-15M17.1,,1:9636484-9637043,,
ENSG00000188807,208.667,0.242,0.072,3.375,0.001,0.004,1,+,9648931,9674935,TMEM201,transmembrane protein 201 [Source:HGNC Symbol,Acc:HGNC:33719],1:9648931-9674935,
ENSG00000171608,133.339,1.476,0.091,16.169,0,0,1,+,9711789,9789172,PIK3CD,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:HGNC Symbol;Acc:HGNC:8977]",1:9711789-9789172,,
ENSG00000231789,1.605,-0.127,0.261,-0.486,0.627,0.807,1,-,9732483,9747613,PIK3CD-AS2,PIK3CD antisense RNA 2 [Source:HGNC Symbol,Acc:HGNC:51334],1:9732483-9747613,
ENSG00000171603,1628.211,-0.11,0.031,-3.542,0,0.002,1,-,9789083,9884584,CLSTN1,calsyntenin 1 [Source:HGNC Symbol,Acc:HGNC:17447],1:9789083-9884584,
ENSG00000178585,477.543,0.171,0.056,3.041,0.002,0.012,1,-,9908333,9970321,CTNNBIP1,catenin beta interacting protein 1 [Source:HGNC Symbol,Acc:HGNC:16913],1:9908333-9970321,
ENSG00000223989,61.575,0.132,0.108,1.221,0.222,0.447,1,+,9908375,9910212,RP11-84A14.5,,1:9908375-9910212,,
ENSG00000162441,209.412,-0.06,0.068,-0.886,0.376,0.615,1,-,9982172,9995678,LZIC,leucine zipper and CTNNBIP1 domain containing [Source:HGNC Symbol,Acc:HGNC:17497],1:9982172-9995678,
ENSG00000228150,4.986,-0.165,0.249,-0.662,0.508,0.726,1,+,10002980,10010032,RP11-84A14.4,,1:10002980-10010032,,
ENSG00000173614,133.376,-0.177,0.072,-2.453,0.014,0.056,1,+,10003485,10041824,NMNAT1,nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol,Acc:HGNC:17877],1:10003485-10041824,
ENSG00000162444,103.822,-0.199,0.089,-2.228,0.026,0.092,1,+,10057263,10076078,RBP7,retinol binding protein 7 [Source:HGNC Symbol,Acc:HGNC:30316],1:10057263-10076078,
ENSG00000225786,4.51,0.054,0.252,0.216,0.829,0.925,1,-,10078084,10078592,NA,NA,1:10078084-10078592,,
ENSG00000130939,459.897,-0.106,0.061,-1.73,0.084,0.226,1,+,10092889,10240425,UBE4B,ubiquitination factor E4B [Source:HGNC Symbol,Acc:HGNC:12500],1:10092889-10240425,
ENSG00000054523,550.88,-0.038,0.064,-0.604,0.546,0.752,1,+,10270862,10368655,KIF1B,kinesin family member 1B [Source:HGNC Symbol,Acc:HGNC:16636],1:10270862-10368655,
ENSG00000265945,4.958,-0.341,0.257,-1.329,0.184,0.395,1,+,10450058,10450353,NA,NA,1:10450058-10450353,,
ENSG00000142657,1661.878,-0.027,0.041,-0.645,0.519,0.734,1,+,10458648,10471609,PGD,phosphogluconate dehydrogenase [Source:HGNC Symbol,Acc:HGNC:8891],1:10458648-10471609,
ENSG00000271989,13.162,0.232,0.193,1.199,0.23,0.457,1,-,10489937,10490734,RP4-736L20.3,,1:10489937-10490734,,
ENSG00000175279,82.325,0.191,0.094,2.038,0.042,0.133,1,+,10490158,10512210,APITD1,"apoptosis-inducing, TAF9-like domain 1 [Source:HGNC Symbol;Acc:HGNC:23163]",1:10490158-10512210,,
ENSG00000241563,1.865,-0.117,0.265,-0.442,0.658,0.826,1,+,10509775,10511959,CORT,cortistatin [Source:HGNC Symbol,Acc:HGNC:2257],1:10509775-10511959,
ENSG00000160049,585.862,0.19,0.042,4.463,0,0,1,-,10516578,10532583,DFFA,"DNA fragmentation factor, 45kDa, alpha polypeptide [Source:HGNC Symbol;Acc:HGNC:2772]",1:10516578-10532583,,
ENSG00000203469,84.209,0.064,0.089,0.711,0.477,0.703,1,+,10518611,10519395,RP5-1113E3.3,,1:10518611-10519395,,
ENSG00000142655,204.87,0.132,0.077,1.709,0.087,0.234,1,+,10532344,10596629,PEX14,peroxisomal biogenesis factor 14 [Source:HGNC Symbol,Acc:HGNC:8856],1:10532344-10596629,
ENSG00000130940,814.821,0.809,0.051,15.99,0,0,1,-,10696660,10856705,CASZ1,castor zinc finger 1 [Source:HGNC Symbol,Acc:HGNC:26002],1:10696660-10856705,
ENSG00000272078,273.077,0.827,0.065,12.633,0,0,1,+,10699297,10714390,RP4-734G22.3,,1:10699297-10714390,,
ENSG00000175262,4.777,-0.102,0.248,-0.412,0.68,0.84,1,-,11006527,11009808,C1orf127,chromosome 1 open reading frame 127 [Source:HGNC Symbol,Acc:HGNC:26730],1:11006527-11009808,
ENSG00000264181,1.153,-0.133,0.25,-0.53,0.596,NA,1,-,11058232,11058320,AL713997.1,,1:11058232-11058320,,
ENSG00000120948,2008.012,0.192,0.039,4.931,0,0,1,+,11072413,11080546,TARDBP,TAR DNA binding protein [Source:HGNC Symbol,Acc:HGNC:11571],1:11072413-11080546,
ENSG00000009724,13.695,-0.324,0.192,-1.688,0.091,0.242,1,-,11086579,11107280,MASP2,mannan-binding lectin serine peptidase 2 [Source:HGNC Symbol,Acc:HGNC:6902],1:11086579-11107280,
ENSG00000271895,22.833,-0.429,0.156,-2.758,0.006,0.026,1,+,11089715,11090585,RP4-635E18.8,,1:11089715-11090585,,
ENSG00000116649,776.864,0.48,0.071,6.768,0,0,1,-,11114640,11115261,SRM,spermidine synthase [Source:HGNC Symbol,Acc:HGNC:11296],1:11114640-11115261,
ENSG00000171824,840.255,0.095,0.038,2.513,0.012,0.048,1,-,11126674,11159926,EXOSC10,exosome component 10 [Source:HGNC Symbol,Acc:HGNC:9138],1:11126674-11159926,
ENSG00000226849,141.721,0.058,0.083,0.702,0.483,0.707,1,+,11128527,11133154,RP4-635E18.7,,1:11128527-11133154,,
ENSG00000230337,39.503,0.019,0.133,0.145,0.885,0.95,1,+,11159731,11162108,RP4-635E18.6,,1:11159731-11162108,,
ENSG00000198793,801.189,-0.007,0.053,-0.134,0.893,0.954,1,-,11166591,11191615,MTOR,mechanistic target of rapamycin (serine/threonine kinase) [Source:HGNC Symbol,Acc:HGNC:3942],1:11166591-11191615,
ENSG00000225602,11.442,-0.138,0.194,-0.714,0.476,0.701,1,+,11203954,11209594,MTOR-AS1,MTOR antisense RNA 1 [Source:HGNC Symbol,Acc:HGNC:40242],1:11203954-11209594,
ENSG00000238173,3.109,-0.402,0.266,-1.511,0.131,0.312,1,+,11293019,11293169,RPL39P6,ribosomal protein L39 pseudogene 6 [Source:HGNC Symbol,Acc:HGNC:35803],1:11293019-11293169,
ENSG00000120942,174.959,0.161,0.083,1.928,0.054,0.164,1,+,11333262,11348491,UBIAD1,UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol,Acc:HGNC:30791],1:11333262-11348491,
ENSG00000238199,5.82,-0.253,0.241,-1.049,0.294,0.533,1,-,11338672,11339408,UBE2V2P3,ubiquitin conjugating enzyme E2 variant 2 pseudogene 3 [Source:HGNC Symbol,Acc:HGNC:44891],1:11338672-11339408,
ENSG00000204624,15.871,0.344,0.187,1.839,0.066,0.19,1,+,11539222,11542017,PTCHD2,patched domain containing 2 [Source:HGNC Symbol,Acc:HGNC:29251],1:11539222-11542017,
ENSG00000235643,3.318,-0.021,0.262,-0.08,0.936,0.975,1,+,11669587,11673412,RP1-69M21.2,,1:11669587-11673412,,
ENSG00000116661,166.595,-0.154,0.072,-2.131,0.033,0.112,1,-,11708423,11714739,FBXO2,F-box protein 2 [Source:HGNC Symbol,Acc:HGNC:13581],1:11708423-11714739,
ENSG00000132879,242.204,-0.338,0.068,-4.934,0,0,1,+,11714431,11722346,FBXO44,F-box protein 44 [Source:HGNC Symbol,Acc:HGNC:24847],1:11714431-11722346,
ENSG00000116663,97.779,-0.209,0.089,-2.353,0.019,0.07,1,+,11724180,11734411,FBXO6,F-box protein 6 [Source:HGNC Symbol,Acc:HGNC:13585],1:11724180-11734411,
ENSG00000116670,359.199,-0.15,0.075,-1.99,0.047,0.146,1,-,11734536,11751707,MAD2L2,MAD2 mitotic arrest deficient-like 2 (yeast) [Source:HGNC Symbol,Acc:HGNC:6764],1:11734536-11751707,
ENSG00000162490,39.551,-0.184,0.131,-1.406,0.16,0.359,1,+,11751785,11785914,DRAXIN,dorsal inhibitory axon guidance protein [Source:HGNC Symbol,Acc:HGNC:25054],1:11751785-11785914,
ENSG00000177674,335.633,-0.137,0.086,-1.591,0.112,0.28,1,+,11796140,11810767,AGTRAP,angiotensin II receptor-associated protein [Source:HGNC Symbol,Acc:HGNC:13539],1:11796140-11810767,
ENSG00000215910,61.312,-0.377,0.1,-3.769,0,0.001,1,+,11821843,11849641,C1orf167,chromosome 1 open reading frame 167 [Source:HGNC Symbol,Acc:HGNC:25262],1:11821843-11849641,
ENSG00000177553,11.808,-0.189,0.203,-0.931,0.352,0.592,1,-,11837133,11839676,RP11-56N19.5,,1:11837133-11839676,,
ENSG00000177000,303.127,-0.364,0.058,-6.308,0,0,1,-,11845779,11863302,MTHFR,methylenetetrahydrofolate reductase (NAD(P)H) [Source:HGNC Symbol,Acc:HGNC:7436],1:11845779-11863302,
ENSG00000011021,204.28,-0.099,0.075,-1.318,0.188,0.4,1,+,11866206,11903201,CLCN6,"chloride channel, voltage-sensitive 6 [Source:HGNC Symbol;Acc:HGNC:2024]",1:11866206-11903201,,
ENSG00000242349,14.23,-0.503,0.19,-2.653,0.008,0.034,1,+,11901073,11907741,NPPA-AS1,NPPA antisense RNA 1 [Source:HGNC Symbol,Acc:HGNC:37635],1:11901073-11907741,
ENSG00000175206,7.006,-0.451,0.229,-1.969,0.049,0.152,1,-,11905765,11907840,NPPA,natriuretic peptide A [Source:HGNC Symbol,Acc:HGNC:7939],1:11905765-11907840,
ENSG00000224904,3.057,0.287,0.264,1.085,0.278,0.515,1,+,11937826,11940463,RP5-934G17.6,,1:11937826-11940463,,
ENSG00000116685,464.32,-0.036,0.059,-0.604,0.546,0.753,1,-,11979647,11986480,KIAA2013,KIAA2013 [Source:HGNC Symbol,Acc:HGNC:28513],1:11979647-11986480,
ENSG00000083444,1144.159,-0.045,0.047,-0.971,0.332,0.573,1,+,11994261,12018677,PLOD1,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]",1:11994261-12018677,,
ENSG00000116688,1131.592,0.018,0.044,0.413,0.68,0.84,1,+,12040237,12073571,MFN2,mitofusin 2 [Source:HGNC Symbol,Acc:HGNC:16877],1:12040237-12073571,
ENSG00000116691,229.141,-0.169,0.091,-1.851,0.064,0.187,1,+,12079522,12089912,MIIP,migration and invasion inhibitory protein [Source:HGNC Symbol,Acc:HGNC:25715],1:12079522-12089912,
ENSG00000202461,0.686,-0.504,0.226,-2.23,0.026,NA,1,-,12084068,12084181,Y_RNA,Y RNA [Source:RFAM,Acc:RF00019],1:12084068-12084181,
ENSG00000227875,0.945,-0.004,0.237,-0.016,0.987,NA,1,-,12140349,12140604,RPL23AP89,ribosomal protein L23a pseudogene 89 [Source:HGNC Symbol,Acc:HGNC:51623],1:12140349-12140604,
ENSG00000028137,15.942,-0.138,0.191,-0.726,0.468,0.695,1,+,12227059,12269285,TNFRSF1B,tumor necrosis factor receptor superfamily member 1B [Source:HGNC Symbol,Acc:HGNC:11917],1:12227059-12269285,
ENSG00000048707,748.818,0.218,0.061,3.593,0,0.002,1,+,12290123,12572099,VPS13D,vacuolar protein sorting 13 homolog D (S. cerevisiae) [Source:HGNC Symbol,Acc:HGNC:23595],1:12290123-12572099,
ENSG00000239149,1.743,-0.032,0.262,-0.123,0.902,0.957,1,+,12567299,12567451,SNORA59A,"small nucleolar RNA, H/ACA box 59A [Source:HGNC Symbol;Acc:HGNC:32653]",1:12567299-12567451,,
ENSG00000162496,62.781,0.69,0.109,6.344,0,0,1,-,12627938,12677737,DHRS3,dehydrogenase/reductase (SDR family) member 3 [Source:HGNC Symbol,Acc:HGNC:17693],1:12627938-12677737,
ENSG00000157330,9.777,-0.06,0.206,-0.291,0.771,0.893,1,+,12806162,12823847,C1orf158,chromosome 1 open reading frame 158 [Source:HGNC Symbol,Acc:HGNC:28567],1:12806162-12823847,
ENSG00000179172,47.617,0.11,0.123,0.894,0.371,0.611,1,-,12907260,12908578,HNRNPCL1,heterogeneous nuclear ribonucleoprotein C-like 1 [Source:HGNC Symbol,Acc:HGNC:29295],1:12907260-12908578,
ENSG00000179412,36.281,0.134,0.129,1.034,0.301,0.541,1,-,13182959,13184326,HNRNPCL4,heterogeneous nuclear ribonucleoprotein C-like 4 [Source:HGNC Symbol,Acc:HGNC:51333],1:13182959-13184326,
ENSG00000162493,5.412,-0.008,0.245,-0.033,0.974,0.989,1,+,13909959,13944452,PDPN,podoplanin [Source:HGNC Symbol,Acc:HGNC:29602],1:13909959-13944452,
ENSG00000266358,2.341,0.529,0.266,1.985,0.047,0.148,1,-,13950396,13950497,AL359771.1,,1:13950396-13950497,,
ENSG00000237445,0.906,-0.339,0.233,-1.452,0.147,NA,1,-,13983805,13986405,CTA-520D8.2,,1:13983805-13986405,,
ENSG00000116731,662.148,0.976,0.081,12.064,0,0,1,+,14026692,14075958,PRDM2,"PR domain containing 2, with ZNF domain [Source:HGNC Symbol;Acc:HGNC:9347]",1:14026692-14075958,,
ENSG00000189337,71.413,0.078,0.11,0.708,0.479,0.704,1,+,14925199,15393056,KAZN,"kazrin, periplakin interacting protein [Source:HGNC Symbol;Acc:HGNC:29173]",1:14925199-15393056,,
ENSG00000175147,1.526,-0.382,0.26,-1.468,0.142,NA,1,-,15442447,15478898,TMEM51-AS1,TMEM51 antisense RNA 1 [Source:HGNC Symbol,Acc:HGNC:26301],1:15442447-15478898,
ENSG00000171729,20.36,-0.231,0.172,-1.342,0.18,0.389,1,+,15479027,15546973,TMEM51,transmembrane protein 51 [Source:HGNC Symbol,Acc:HGNC:25488],1:15479027-15546973,
ENSG00000142621,8.003,0.167,0.222,0.752,0.452,0.682,1,+,15573767,15724622,FHAD1,forkhead-associated (FHA) phosphopeptide binding domain 1 [Source:HGNC Symbol,Acc:HGNC:29408],1:15573767-15724622,
ENSG00000233485,4.868,0.041,0.248,0.166,0.868,0.944,1,-,15653175,15670372,RP3-467K16.2,,1:15653175-15670372,,
ENSG00000228140,22.115,-0.113,0.156,-0.726,0.468,0.695,1,-,15729474,15735929,RP3-467K16.4,,1:15729474-15735929,,
ENSG00000142634,207.227,-0.231,0.074,-3.129,0.002,0.009,1,+,15736390,15756839,EFHD2,EF-hand domain family member D2 [Source:HGNC Symbol,Acc:HGNC:28670],1:15736390-15756839,
ENSG00000162438,15.893,0.08,0.175,0.454,0.65,0.821,1,+,15764934,15773149,CTRC,chymotrypsin C [Source:HGNC Symbol,Acc:HGNC:2523],1:15764934-15773149,
ENSG00000142615,5.843,-0.189,0.237,-0.799,0.424,0.658,1,+,15783222,15789506,CELA2A,chymotrypsin like elastase family member 2A [Source:HGNC Symbol,Acc:HGNC:24609],1:15783222-15789506,
ENSG00000132906,68.726,-0.281,0.096,-2.939,0.003,0.016,1,-,15817326,15850940,CASP9,caspase 9 [Source:HGNC Symbol,Acc:HGNC:1511],1:15817326-15850940,
ENSG00000116138,211.952,-0.185,0.083,-2.231,0.026,0.091,1,+,15853307,15893090,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16 [Source:HGNC Symbol,Acc:HGNC:29157],1:15853307-15893090,
ENSG00000272510,3.883,-0.45,0.253,-1.774,0.076,0.211,1,-,15892105,15892451,RP4-680D5.8,,1:15892105-15892451,,
ENSG00000116771,36.906,-0.262,0.133,-1.964,0.05,0.153,1,-,15898847,15911605,AGMAT,agmatinase [Source:HGNC Symbol,Acc:HGNC:18407],1:15898847-15911605,
